iter	Accuracy	MultiClass
694	0.7003484321	0.9083160327
695	0.7003019744	0.908222815
696	0.7004103755	0.908161053
697	0.7004568331	0.908099291
698	0.7004568331	0.9080606973
699	0.7004568331	0.9079994193
700	0.7005032907	0.9078934984
701	0.7005497484	0.9077426926
702	0.700472319	0.9076756678
703	0.7005807201	0.9076139058
704	0.7006271777	0.9075589189
705	0.7005032907	0.9074376331
706	0.7005342625	0.9073486498
707	0.7005187766	0.9072814436
708	0.700472319	0.9072238555
709	0.7006736353	0.9070489741
710	0.7006271777	0.9069859417
711	0.7006426636	0.9069018583
712	0.7006581494	0.9067864402
713	0.7006736353	0.9066895325
714	0.7006581494	0.9066005493
715	0.7007200929	0.9065351578
716	0.7007820364	0.9064544619
717	0.7007665505	0.9063804201
718	0.7007665505	0.9063041401
719	0.7007975223	0.906210257
720	0.7009214092	0.9060848577
721	0.7009059233	0.9059944227
722	0.7008749516	0.9059022334
723	0.7008904375	0.9058056281
724	0.7009214092	0.9057447735
725	0.7008594657	0.905614293
726	0.7007975223	0.9055285763
727	0.7008904375	0.9053458309
728	0.7009214092	0.9052651955
729	0.7010298103	0.9051991991
730	0.7010143244	0.9050860192
731	0.7010143244	0.905025588
732	0.700952381	0.9048820412
733	0.700952381	0.9047818065
734	0.701060782	0.9046876815
735	0.7010298103	0.9046245282
736	0.7011227255	0.9045377226
737	0.7011691831	0.9044639833
738	0.7012156407	0.9042791207
739	0.7012466125	0.9042384098
740	0.7011691831	0.9041795514
741	0.7012156407	0.9040709083
742	0.7012156407	0.904011566
743	0.7012311266	0.9039610555
744	0.7013085559	0.9038607603
745	0.7013085559	0.9038175087
746	0.7013550136	0.9036207898
747	0.7013859853	0.9035645325
748	0.7015253581	0.9034001161
749	0.701540844	0.9033301273
750	0.7014634146	0.9032436847
751	0.7015253581	0.9031916618
752	0.7015563298	0.9031171361
753	0.7016337592	0.9030056499
754	0.7015873016	0.9029622774
755	0.7016802168	0.9028804926
756	0.7016492451	0.9027423901
757	0.7015873016	0.9026709495
758	0.7016492451	0.9025735579
759	0.7017111885	0.9025106465
760	0.7017576461	0.9024104723
761	0.7018815331	0.9023424192
762	0.7018195896	0.902300438
763	0.7018815331	0.9022665626
764	0.7018815331	0.9021982675
765	0.7018505614	0.9021230764
766	0.7018041038	0.902009473
767	0.7017886179	0.9019717262
768	0.7018195896	0.9019290796
769	0.7018815331	0.9018115442
770	0.7019279907	0.9017350223
771	0.7018815331	0.9016252299
772	0.7018350755	0.901565948
773	0.7019434766	0.9014071574
774	0.7021912505	0.9012142494
775	0.7021447929	0.9011477691
776	0.7021912505	0.9010691299
777	0.7020518777	0.9009626645
778	0.7020828494	0.9008826945
779	0.7020673635	0.9008275866
780	0.7022841657	0.9006408488
